timestamp,sample,hub_model,hub_serial,device,port,cycle,status,speed_code,speed_label,notes
2026-05-17T02:01:00.927711,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,1,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:01:10.174068,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,2,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:01:19.658491,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,3,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:01:28.872047,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,4,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:01:38.088123,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,5,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:01:47.321113,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,6,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:01:56.829808,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,7,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:02:06.076936,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,8,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:02:15.598662,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,9,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:02:25.119370,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,10,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:02:34.653063,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,11,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:02:44.148868,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,12,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:02:53.666394,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,13,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:03:03.218306,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,14,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:03:12.736453,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,15,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:03:22.222261,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,16,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:03:31.484156,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,17,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:03:41.003951,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,18,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:03:50.525730,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,19,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:04:00.056812,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,20,PASS,4,SuperSpeed+ (10 Gbps),
